epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,527.906,1.23514,0.76258,1.18342,0.77339,0.69104,0.75267,0.36832,1.60183,0.90078,1.19404,0.00999372,0.00333124,0.00999372,0.00333124,0.00999372,0.00333124,0.00999372,0.00333124
2,890.297,1.2451,0.66175,1.20509,0.789,0.67705,0.72198,0.33749,1.69285,1.02082,1.27455,0.0198618,0.00662059,0.0198618,0.00662059,0.0198618,0.00662059,0.0198618,0.00662059
3,1188.11,1.28557,0.7251,1.24777,0.74804,0.61717,0.64471,0.28479,1.78632,1.17288,1.39685,0.0295978,0.00986593,0.0295978,0.00986593,0.0295978,0.00986593,0.0295978,0.00986593
4,1467.05,1.26239,0.704,1.24994,0.79909,0.67705,0.71986,0.33614,1.71916,1.0211,1.30383,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,2121.43,1.23526,0.65323,1.24012,0.80983,0.70566,0.75399,0.35606,1.63132,0.92206,1.30029,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2892.04,1.2053,0.61795,1.21936,0.80877,0.72092,0.75679,0.37,1.61485,0.9054,1.29132,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,3297.27,1.18878,0.59531,1.21313,0.83512,0.75779,0.79668,0.39392,1.56999,0.86606,1.24122,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,3722.9,1.17415,0.57532,1.20622,0.82911,0.77109,0.79671,0.39359,1.54147,0.84079,1.23856,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,4123.59,1.16042,0.56248,1.19327,0.84217,0.78449,0.81679,0.41256,1.51902,0.80462,1.21854,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,4531.53,1.15466,0.55277,1.18149,0.87467,0.77643,0.82353,0.42487,1.49499,0.78815,1.22311,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,4942.95,1.14614,0.53776,1.17998,0.84703,0.8042,0.83041,0.42679,1.48206,0.76224,1.20088,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,5369.91,1.13749,0.53207,1.16796,0.8483,0.79985,0.83559,0.43619,1.46505,0.76617,1.18221,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,5783.22,1.12949,0.52078,1.17192,0.86334,0.80229,0.84498,0.44054,1.46628,0.74251,1.21108,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,6194.26,1.12364,0.52045,1.16018,0.85703,0.81055,0.8476,0.44256,1.46642,0.73783,1.17205,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,6609.37,1.12047,0.51195,1.15974,0.85195,0.81946,0.84866,0.44626,1.45244,0.71624,1.19134,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,7023.27,1.11125,0.50804,1.16145,0.84153,0.82037,0.84672,0.45166,1.4254,0.71412,1.17793,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,7431.08,1.10515,0.50235,1.15564,0.85893,0.81671,0.8543,0.45718,1.4378,0.70439,1.172,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,7834.83,1.09731,0.49235,1.15179,0.86378,0.81691,0.85621,0.4561,1.43499,0.70351,1.1742,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,8224.6,1.09833,0.49449,1.15411,0.85089,0.80901,0.84842,0.46082,1.42578,0.6814,1.17953,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,8665.98,1.09154,0.48801,1.1468,0.86324,0.82454,0.85599,0.45941,1.42504,0.68074,1.17861,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,9074.63,1.09155,0.48927,1.15529,0.86016,0.82897,0.85877,0.46851,1.42001,0.67738,1.1653,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,9486.67,1.08838,0.48295,1.14434,0.8614,0.82973,0.86322,0.46645,1.4098,0.68167,1.15475,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,9884.29,1.07412,0.47652,1.1343,0.8534,0.82708,0.86173,0.46905,1.41107,0.67994,1.15989,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
